date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:59:35	38199/38199	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Sep%202022%2001:55:28%20GMT	https://www.ecured.cu/EcuRed:Portal_del_colaborador	C:/Users/Crisb/Desktop/7mo%20Semestre/Redes%20Basicas/Pagina%20web/www.ecured.cu/EcuRed_Portal_del_colaborador.html	(from https://www.ecured.cu/EcuRed:Enciclopedia_cubana)
20:59:36	32741/32741	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Sep%202022%2001:57:17%20GMT	https://www.ecured.cu/EcuRed:Pol%c3%adticas_de_Moderaci%c3%b3n	C:/Users/Crisb/Desktop/7mo%20Semestre/Redes%20Basicas/Pagina%20web/www.ecured.cu/EcuRed_Pol%c3%adticas_de_Moderaci%c3%b3n.html	(from https://www.ecured.cu/EcuRed:Enciclopedia_cubana)
20:59:37	196604/196604	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Sep%202022%2001:55:30%20GMT	https://www.ecured.cu/EcuRed:Art%c3%adculos_de_referencia	C:/Users/Crisb/Desktop/7mo%20Semestre/Redes%20Basicas/Pagina%20web/www.ecured.cu/EcuRed_Art%c3%adculos_de_referencia.html	(from https://www.ecured.cu/EcuRed:Enciclopedia_cubana)
20:59:38	125238/125238	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Sep%202022%2001:57:19%20GMT	https://www.ecured.cu/EcuRed:Art%c3%adculos_destacados	C:/Users/Crisb/Desktop/7mo%20Semestre/Redes%20Basicas/Pagina%20web/www.ecured.cu/EcuRed_Art%c3%adculos_destacados.html	(from https://www.ecured.cu/EcuRed:Enciclopedia_cubana)
20:59:38	164960/164960	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Sep%202022%2001:55:32%20GMT	https://www.ecured.cu/EcuRed:Art%c3%adculos_certificados	C:/Users/Crisb/Desktop/7mo%20Semestre/Redes%20Basicas/Pagina%20web/www.ecured.cu/EcuRed_Art%c3%adculos_certificados.html	(from https://www.ecured.cu/EcuRed:Enciclopedia_cubana)
20:59:39	95901/95901	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Sep%202022%2001:57:21%20GMT	https://www.ecured.cu/EcuRed:Notificar_errores	C:/Users/Crisb/Desktop/7mo%20Semestre/Redes%20Basicas/Pagina%20web/www.ecured.cu/EcuRed_Notificar_errores.html	(from https://www.ecured.cu/EcuRed:Enciclopedia_cubana)
20:59:40	39525/39525	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Sep%202022%2001:55:34%20GMT	https://www.ecured.cu/EcuRed:%c3%81rbol_de_Categor%c3%adas	C:/Users/Crisb/Desktop/7mo%20Semestre/Redes%20Basicas/Pagina%20web/www.ecured.cu/EcuRed_%c3%81rbol_de_Categor%c3%adas.html	(from https://www.ecured.cu/EcuRed:Enciclopedia_cubana)
20:59:41	85038/85038	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Sep%202022%2001:57:23%20GMT	https://www.ecured.cu/EcuRed:Plantillas_recomendadas	C:/Users/Crisb/Desktop/7mo%20Semestre/Redes%20Basicas/Pagina%20web/www.ecured.cu/EcuRed_Plantillas_recomendadas.html	(from https://www.ecured.cu/EcuRed:Enciclopedia_cubana)
20:59:42	122443/122443	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Sep%202022%2001:55:36%20GMT	https://www.ecured.cu/Especial:CambiosRecientes	C:/Users/Crisb/Desktop/7mo%20Semestre/Redes%20Basicas/Pagina%20web/www.ecured.cu/Especial_CambiosRecientes.html	(from https://www.ecured.cu/EcuRed:Enciclopedia_cubana)
20:59:42	0/0	---MC-	302	error ('Found')	text/html	date:Mon,%2012%20Sep%202022%2001:57:25%20GMT	https://www.ecured.cu/Especial:Aleatoria	C:/Users/Crisb/Desktop/7mo%20Semestre/Redes%20Basicas/Pagina%20web/www.ecured.cu/Especial_Aleatoria	(from https://www.ecured.cu/EcuRed:Enciclopedia_cubana)
20:59:43	26449/26449	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Sep%202022%2001:55:37%20GMT	https://www.ecured.cu/Max_Brod	C:/Users/Crisb/Desktop/7mo%20Semestre/Redes%20Basicas/Pagina%20web/www.ecured.cu/Max_Brod.html	(from https://www.ecured.cu/EcuRed:Enciclopedia_cubana)
21:00:23	32962/32962	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Sep%202022%2001:58:06%20GMT	https://www.ecured.cu/Especial:P%c3%a1ginasRequeridas	C:/Users/Crisb/Desktop/7mo%20Semestre/Redes%20Basicas/Pagina%20web/www.ecured.cu/Especial_P%c3%a1ginasRequeridas.html	(from https://www.ecured.cu/EcuRed:Enciclopedia_cubana)
21:00:24	51399/51399	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Sep%202022%2001:56:19%20GMT	https://www.ecured.cu/Categor%c3%ada:Art%c3%adculos_a_normalizar	C:/Users/Crisb/Desktop/7mo%20Semestre/Redes%20Basicas/Pagina%20web/www.ecured.cu/Categor%c3%ada_Art%c3%adculos_a_normalizar.html	(from https://www.ecured.cu/EcuRed:Enciclopedia_cubana)
21:00:25	20300/20300	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Sep%202022%2002:00:22%20GMT	https://www.ecured.cu/Categor%c3%ada:Fusionar	C:/Users/Crisb/Desktop/7mo%20Semestre/Redes%20Basicas/Pagina%20web/www.ecured.cu/Categor%c3%ada_Fusionar.html	(from https://www.ecured.cu/EcuRed:Enciclopedia_cubana)
21:00:26	23077/23077	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Sep%202022%2001:56:20%20GMT	https://www.ecured.cu/Especial:P%c3%a1ginasHu%c3%a9rfanas	C:/Users/Crisb/Desktop/7mo%20Semestre/Redes%20Basicas/Pagina%20web/www.ecured.cu/Especial_P%c3%a1ginasHu%c3%a9rfanas.html	(from https://www.ecured.cu/EcuRed:Enciclopedia_cubana)
21:00:26	27947/27947	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Sep%202022%2002:00:23%20GMT	https://www.ecured.cu/Especial:P%c3%a1ginasEspeciales	C:/Users/Crisb/Desktop/7mo%20Semestre/Redes%20Basicas/Pagina%20web/www.ecured.cu/Especial_P%c3%a1ginasEspeciales.html	(from https://www.ecured.cu/EcuRed:Enciclopedia_cubana)
21:00:28	7450/7450	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Mon,%2012%20Sep%202022%2001:56:22%20GMT	https://www.ecured.cu/Especial:LoQueEnlazaAqu%c3%ad/EcuRed:Enciclopedia_cubana	C:/Users/Crisb/Desktop/7mo%20Semestre/Redes%20Basicas/Pagina%20web/www.ecured.cu/Especial_LoQueEnlazaAqu%c3%ad/EcuRed_Enciclopedia_cubana.html	(from https://www.ecured.cu/EcuRed:Enciclopedia_cubana)
21:00:29	30890/30890	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Sep%202022%2002:00:25%20GMT	https://www.ecured.cu/Especial:CambiosEnEnlazadas/EcuRed:Enciclopedia_cubana	C:/Users/Crisb/Desktop/7mo%20Semestre/Redes%20Basicas/Pagina%20web/www.ecured.cu/Especial_CambiosEnEnlazadas/EcuRed_Enciclopedia_cubana.html	(from https://www.ecured.cu/EcuRed:Enciclopedia_cubana)
21:00:30	48922/48922	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Sep%202022%2001:58:12%20GMT	https://www.ecured.cu/index.php?title=EcuRed:Enciclopedia_cubana&printable=yes	C:/Users/Crisb/Desktop/7mo%20Semestre/Redes%20Basicas/Pagina%20web/www.ecured.cu/index89eb.html	(from https://www.ecured.cu/EcuRed:Enciclopedia_cubana)
21:00:30	50003/50003	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Sep%202022%2002:00:27%20GMT	https://www.ecured.cu/index.php?title=EcuRed:Enciclopedia_cubana&oldid=4218468	C:/Users/Crisb/Desktop/7mo%20Semestre/Redes%20Basicas/Pagina%20web/www.ecured.cu/index4be6.html	(from https://www.ecured.cu/EcuRed:Enciclopedia_cubana)
21:00:31	26737/26737	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Sep%202022%2001:58:14%20GMT	https://www.ecured.cu/index.php?title=EcuRed:Enciclopedia_cubana&action=info	C:/Users/Crisb/Desktop/7mo%20Semestre/Redes%20Basicas/Pagina%20web/www.ecured.cu/index5edd.html	(from https://www.ecured.cu/EcuRed:Enciclopedia_cubana)
21:00:31	20357/20357	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Sep%202022%2002:00:28%20GMT	https://www.ecured.cu/Especial:Registro/EcuRed:Enciclopedia_cubana	C:/Users/Crisb/Desktop/7mo%20Semestre/Redes%20Basicas/Pagina%20web/www.ecured.cu/Especial_Registro/EcuRed_Enciclopedia_cubana.html	(from https://www.ecured.cu/EcuRed:Enciclopedia_cubana)
21:00:32	19352/19352	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Sep%202022%2001:58:15%20GMT	https://www.ecured.cu/EcuRed_discusi%c3%b3n:Enciclopedia_cubana	C:/Users/Crisb/Desktop/7mo%20Semestre/Redes%20Basicas/Pagina%20web/www.ecured.cu/EcuRed_discusi%c3%b3n_Enciclopedia_cubana.html	(from https://www.ecured.cu/EcuRed:Enciclopedia_cubana)
21:00:32	28930/28930	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Sep%202022%2002:00:29%20GMT	https://www.ecured.cu/index.php?title=EcuRed:Enciclopedia_cubana&action=edit	C:/Users/Crisb/Desktop/7mo%20Semestre/Redes%20Basicas/Pagina%20web/www.ecured.cu/index34ee.html	(from https://www.ecured.cu/EcuRed:Enciclopedia_cubana)
